# Time indexes blocks. 
# Columns Headings: 
# x	var0 u	var0 q	var0 sigma	var1 u	var1 q	var1 sigma	var2 u	var2 q	var2 sigma
# t = 0
0.568	2.01583	-0.298095	-0.339094	2.01856	-0.298499	-1.24503	2.01856	-0.298499	-0.565924
0.571	2.01489	-0.32993	-0.377291	2.01762	-0.330378	-1.38528	2.01762	-0.330378	-0.629671
0.574	2.01385	-0.361567	-0.415642	2.01658	-0.362058	-1.52609	2.01658	-0.362058	-0.693676
0.577	2.01272	-0.393001	-0.454138	2.01545	-0.393534	-1.66743	2.01545	-0.393534	-0.757923
0.58	2.01149	-0.424227	-0.492771	2.01422	-0.424803	-1.80928	2.01422	-0.424803	-0.822399
0.583	2.01017	-0.455242	-0.531532	2.0129	-0.455859	-1.95159	2.0129	-0.455859	-0.887088
0.586	2.00876	-0.486041	-0.570412	2.01149	-0.4867	-2.09435	2.01149	-0.4867	-0.951977
0.589	2.00726	-0.51662	-0.609404	2.00998	-0.51732	-2.23751	2.00998	-0.51732	-1.01705
0.592	2.00566	-0.546975	-0.648497	2.00838	-0.547716	-2.38105	2.00838	-0.547716	-1.08229
0.595	2.00398	-0.577102	-0.687683	2.00669	-0.577884	-2.52492	2.00669	-0.577884	-1.14769
0.598	2.0022	-0.606997	-0.726953	2.00492	-0.607819	-2.66911	2.00492	-0.607819	-1.21323
0.601	2.00033	-0.636656	-0.766298	2.00305	-0.637518	-2.81357	2.00305	-0.637518	-1.2789
0.604	1.99838	-0.666075	-0.80571	2.00109	-0.666977	-2.95828	2.00109	-0.666977	-1.34467
0.607	1.99634	-0.69525	-0.845179	1.99905	-0.696192	-3.10319	1.99905	-0.696192	-1.41054
0.61	1.99421	-0.724178	-0.884696	1.99691	-0.725159	-3.24829	1.99691	-0.725159	-1.47649
0.613	1.99199	-0.752855	-0.924253	1.9947	-0.753875	-3.39352	1.9947	-0.753875	-1.54251
0.616	1.98969	-0.781277	-0.963839	1.99239	-0.782335	-3.53887	1.99239	-0.782335	-1.60858
0.619	1.98731	-0.80944	-1.00345	1.99	-0.810537	-3.6843	1.99	-0.810537	-1.67468
0.622	1.98484	-0.837342	-1.04307	1.98753	-0.838476	-3.82977	1.98753	-0.838476	-1.7408
0.625	1.98228	-0.864978	-1.08269	1.98497	-0.866149	-3.97525	1.98497	-0.866149	-1.80693
0.628	1.97965	-0.892345	-1.12231	1.98233	-0.893554	-4.12071	1.98233	-0.893554	-1.87305
0.631	1.97693	-0.91944	-1.16191	1.97961	-0.920685	-4.26611	1.97961	-0.920685	-1.93914
0.634	1.97413	-0.946259	-1.20148	1.97681	-0.94754	-4.41142	1.97681	-0.94754	-2.00519
0.637	1.97125	-0.972799	-1.24103	1.97392	-0.974116	-4.55661	1.97392	-0.974116	-2.07119
0.64	1.96829	-0.999057	-1.28053	1.97096	-1.00041	-4.70164	1.97096	-1.00041	-2.13711
0.643	1.96526	-1.02503	-1.31998	1.96792	-1.02642	-4.84648	1.96792	-1.02642	-2.20295
0.646	1.96214	-1.05071	-1.35937	1.9648	-1.05214	-4.9911	1.9648	-1.05214	-2.26868
0.649	1.95895	-1.07611	-1.39868	1.96161	-1.07756	-5.13546	1.96161	-1.07756	-2.3343
0.652	1.95569	-1.1012	-1.43792	1.95834	-1.1027	-5.27953	1.95834	-1.1027	-2.39979
0.655	1.95235	-1.12601	-1.47707	1.95499	-1.12753	-5.42327	1.95499	-1.12753	-2.46512
0.658	1.94893	-1.15051	-1.51612	1.95157	-1.15206	-5.56666	1.95157	-1.15206	-2.5303
0.661	1.94544	-1.1747	-1.55507	1.94808	-1.17629	-5.70965	1.94808	-1.17629	-2.5953
0.664	1.94188	-1.1986	-1.5939	1.94452	-1.20022	-5.85222	1.94452	-1.20022	-2.6601
0.667	1.93825	-1.22218	-1.6326	1.94088	-1.22383	-5.99433	1.94088	-1.22383	-2.7247
0.67	1.93455	-1.24545	-1.67117	1.93717	-1.24714	-6.13595	1.93717	-1.24714	-2.78907
0.673	1.93078	-1.26841	-1.7096	1.9334	-1.27013	-6.27704	1.9334	-1.27013	-2.8532
0.676	1.92694	-1.29106	-1.74788	1.92955	-1.2928	-6.41758	1.92955	-1.2928	-2.91708
0.679	1.92303	-1.31338	-1.78599	1.92564	-1.31516	-6.55752	1.92564	-1.31516	-2.98069
0.682	1.91906	-1.33538	-1.82394	1.92166	-1.33719	-6.69684	1.92166	-1.33719	-3.04402
0.685	1.91502	-1.35706	-1.8617	1.91762	-1.3589	-6.8355	1.91762	-1.3589	-3.10705
0.688	1.91092	-1.37842	-1.89928	1.91351	-1.38028	-6.97348	1.91351	-1.38028	-3.16976
0.691	1.90675	-1.39945	-1.93666	1.90934	-1.40134	-7.11073	1.90934	-1.40134	-3.23215
0.694	1.90252	-1.42014	-1.97384	1.9051	-1.42207	-7.24722	1.9051	-1.42207	-3.29419
0.697	1.89823	-1.44051	-2.0108	1.90081	-1.44246	-7.38293	1.90081	-1.44246	-3.35588
0.7	1.89388	-1.46054	-2.04754	1.89645	-1.46252	-7.51782	1.89645	-1.46252	-3.41719
0.703	1.88947	-1.48024	-2.08404	1.89203	-1.48224	-7.65186	1.89203	-1.48224	-3.47812
0.706	1.885	-1.4996	-2.12031	1.88756	-1.50163	-7.78502	1.88756	-1.50163	-3.53865
0.709	1.88047	-1.51862	-2.15633	1.88302	-1.52067	-7.91726	1.88302	-1.52067	-3.59875
0.712	1.87589	-1.5373	-2.19209	1.87843	-1.53938	-8.04856	1.87843	-1.53938	-3.65843
0.715	1.87125	-1.55563	-2.22758	1.87379	-1.55774	-8.17887	1.87379	-1.55774	-3.71767
0.718	1.86655	-1.57363	-2.2628	1.86909	-1.57575	-8.30818	1.86909	-1.57575	-3.77645
0.721	1.86181	-1.59127	-2.29773	1.86433	-1.59342	-8.43645	1.86433	-1.59342	-3.83475
0.724	1.85701	-1.60857	-2.33238	1.85953	-1.61075	-8.56365	1.85953	-1.61075	-3.89257
0.727	1.85215	-1.62552	-2.36672	1.85467	-1.62772	-8.68975	1.85467	-1.62772	-3.94989
0.73	1.84725	-1.64212	-2.40076	1.84976	-1.64434	-8.81472	1.84976	-1.64434	-4.00669
0.733	1.8423	-1.65837	-2.43448	1.8448	-1.66061	-8.93853	1.8448	-1.66061	-4.06297
0.736	1.8373	-1.67427	-2.46787	1.8398	-1.67653	-9.06114	1.8398	-1.67653	-4.1187
0.739	1.83226	-1.68981	-2.50094	1.83474	-1.6921	-9.18254	1.83474	-1.6921	-4.17388
0.742	1.82716	-1.705	-2.53366	1.82964	-1.7073	-9.30269	1.82964	-1.7073	-4.22849
0.745	1.82203	-1.71983	-2.56603	1.8245	-1.72216	-9.42155	1.8245	-1.72216	-4.28252
0.748	1.81685	-1.73431	-2.59805	1.81931	-1.73665	-9.53911	1.81931	-1.73665	-4.33596
0.751	1.81162	-1.74843	-2.62971	1.81408	-1.75079	-9.65534	1.81408	-1.75079	-4.38879
0.754	1.80636	-1.76219	-2.66099	1.80881	-1.76457	-9.7702	1.80881	-1.76457	-4.441
0.757	1.80105	-1.77559	-2.69189	1.80349	-1.77799	-9.88367	1.80349	-1.77799	-4.49258
0.76	1.7957	-1.78863	-2.72241	1.79814	-1.79104	-9.99571	1.79814	-1.79104	-4.54351
0.763	1.79032	-1.80131	-2.75253	1.79275	-1.80374	-10.1063	1.79275	-1.80374	-4.59378
0.766	1.7849	-1.81363	-2.78225	1.78732	-1.81608	-10.2154	1.78732	-1.81608	-4.64338
0.769	1.77944	-1.82558	-2.81157	1.78185	-1.82805	-10.3231	1.78185	-1.82805	-4.6923
0.772	1.77394	-1.83718	-2.84046	1.77635	-1.83966	-10.4292	1.77635	-1.83966	-4.74053
0.775	1.76841	-1.84841	-2.86894	1.77081	-1.85091	-10.5337	1.77081	-1.85091	-4.78805
0.778	1.76285	-1.85928	-2.89698	1.76524	-1.8618	-10.6367	1.76524	-1.8618	-4.83486
0.781	1.75726	-1.86979	-2.92459	1.75964	-1.87232	-10.738	1.75964	-1.87232	-4.88093
0.784	1.75163	-1.87994	-2.95175	1.75401	-1.88248	-10.8378	1.75401	-1.88248	-4.92626
0.787	1.74598	-1.88972	-2.97846	1.74835	-1.89227	-10.9359	1.74835	-1.89227	-4.97084
0.79	1.7403	-1.89914	-3.00472	1.74266	-1.9017	-11.0323	1.74266	-1.9017	-5.01466
0.793	1.73458	-1.90819	-3.03051	1.73694	-1.91077	-11.127	1.73694	-1.91077	-5.05771
0.796	1.72885	-1.91689	-3.05583	1.73119	-1.91947	-11.2199	1.73119	-1.91947	-5.09997
0.799	1.72308	-1.92521	-3.08068	1.72542	-1.92781	-11.3112	1.72542	-1.92781	-5.14143
0.802	1.7173	-1.93318	-3.10504	1.71963	-1.93579	-11.4006	1.71963	-1.93579	-5.18209
0.805	1.71148	-1.94078	-3.12891	1.71381	-1.9434	-11.4883	1.71381	-1.9434	-5.22193
0.808	1.70565	-1.94802	-3.15229	1.70797	-1.95065	-11.5741	1.70797	-1.95065	-5.26095
0.811	1.6998	-1.9549	-3.17517	1.7021	-1.95754	-11.6581	1.7021	-1.95754	-5.29913
0.814	1.69392	-1.96142	-3.19754	1.69622	-1.96407	-11.7402	1.69622	-1.96407	-5.33647
0.817	1.68803	-1.96758	-3.2194	1.69032	-1.97023	-11.8205	1.69032	-1.97023	-5.37295
0.82	1.68212	-1.97338	-3.24074	1.6844	-1.97604	-11.8988	1.6844	-1.97604	-5.40857
0.823	1.67619	-1.97881	-3.26156	1.67846	-1.98148	-11.9753	1.67846	-1.98148	-5.44331
0.826	1.67024	-1.98389	-3.28185	1.67251	-1.98657	-12.0498	1.67251	-1.98657	-5.47717
0.829	1.66429	-1.98861	-3.3016	1.66654	-1.99129	-12.1223	1.66654	-1.99129	-5.51014
